,PLAN_BEZ,STRASSE1,ORTSTEIL1,PLZ1,HNR_GE_AB,HNR_GE_BIS,HNR_UG_AB,HNR_UG_BIS,TERMIN001,TERMIN002,TERMIN003
24169,Sperrmüll,Bergstr.,Kessenich,53129,68.0,150.0,67.0,169.0,2025-02-26,2025-06-16,2025-07-11
24184,Sperrmüll,Bergstr.,Kessenich,53129,152.0,9998.0,171.0,9999.0,2025-04-02,2025-08-07,2025-09-12
24199,Sperrmüll,Blücherstr.,Kessenich,53115,2.0,42.0,1.0,49.0,2025-02-25,2025-12-06,2025-06-11
24214,Sperrmüll,Blücherstr.,Kessenich,53115,44.0,9998.0,51.0,9999.0,2025-02-25,2025-12-06,2025-06-11
24229,Sperrmüll,Bonner Talweg,Kessenich,53113,,,1.0,39.0,2025-02-01,2025-05-16,2025-09-29
24244,Sperrmüll,Bonner Talweg,Kessenich,53113,2.0,46.0,,,2025-02-01,2025-05-16,2025-09-29
24260,Sperrmüll,Bonner Talweg,Kessenich,53113,,,41.0,121.0,2025-02-01,2025-05-16,2025-09-29
24275,Sperrmüll,Bonner Talweg,Kessenich,53113,48.0,150.0,,,2025-02-01,2025-05-16,2025-09-29
24290,Sperrmüll,Bonner Talweg,Kessenich,53129,152.0,200.0,123.0,213.0,2025-02-25,2025-12-06,2025-06-11
24305,Sperrmüll,Bonner Talweg,Kessenich,53129,278.0,9998.0,261.0,9999.0,2025-02-25,2025-12-06,2025-06-11
24320,Sperrmüll,Bonner Talweg,Kessenich,53129,202.0,276.0,215.0,259.0,2025-02-25,2025-12-06,2025-06-11
24335,Sperrmüll,Burbacher Str.,Kessenich,53129,2.0,62.0,1.0,85.0,2025-02-26,2025-06-16,2025-07-11
24350,Sperrmüll,Burbacher Str.,Kessenich,53129,64.0,174.0,87.0,181.0,2025-02-26,2025-06-16,2025-07-11
24365,Sperrmüll,Burbacher Str.,Kessenich,53129,176.0,206.0,183.0,229.0,2025-02-26,2025-06-16,2025-07-11
24380,Sperrmüll,Burbacher Str.,Kessenich,53129,208.0,9998.0,231.0,9999.0,2025-02-26,2025-06-16,2025-07-11
24395,Sperrmüll,Büttinghausenstr.,Kessenich,53129,2.0,10.0,1.0,13.0,2025-02-26,2025-06-16,2025-07-11
24410,Sperrmüll,Büttinghausenstr.,Kessenich,53129,12.0,9998.0,15.0,9999.0,2025-02-26,2025-06-16,2025-07-11
24425,Sperrmüll,Eduard-Otto-Str.,Kessenich,53129,2.0,4.0,1.0,9.0,2025-02-25,2025-12-06,2025-06-11
24445,Sperrmüll,Eduard-Otto-Str.,Kessenich,53129,6.0,34.0,11.0,55.0,2025-02-26,2025-06-16,2025-07-11
24460,Sperrmüll,Eduard-Otto-Str.,Kessenich,53129,36.0,9998.0,57.0,9999.0,2025-02-26,2025-06-16,2025-07-11
24475,Sperrmüll,Erftweg,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
24490,Sperrmüll,Franz-Bücheler-Str.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
24505,Sperrmüll,Franz-Lohe-Str.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
24520,Sperrmüll,Füssenichgasse,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
24535,Sperrmüll,Geißlerstr.,Kessenich,53115,2.0,9998.0,1.0,9999.0,2025-02-25,2025-12-06,2025-06-11
24550,Sperrmüll,Gerhard-Samuel-Str.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
24565,Sperrmüll,Gierenweg,Kessenich,53129,2.0,6.0,1.0,21.0,2025-02-24,2025-06-17,2025-10-11
24580,Sperrmüll,Gierenweg,Kessenich,53129,,,,,2025-02-24,2025-06-17,2025-10-11
24595,Sperrmüll,Gierenweg,Kessenich,53129,8.0,9998.0,23.0,9999.0,2025-02-24,2025-06-17,2025-10-11
24610,Sperrmüll,Graf-Galen-Str.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-25,2025-12-06,2025-06-11
24625,Sperrmüll,Graf-Stauffenberg-Str.,Kessenich,53115,2.0,12.0,1.0,11.0,2025-02-25,2025-12-06,2025-06-11
24640,Sperrmüll,Graf-Stauffenberg-Str.,Kessenich,53115,14.0,9998.0,13.0,9999.0,2025-02-25,2025-12-06,2025-06-11
24655,Sperrmüll,Gregor-Mendel-Str.,Kessenich,53115,2.0,9998.0,1.0,9999.0,2025-02-25,2025-12-06,2025-06-11
24670,Sperrmüll,Hans-Riegel-Str.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
24685,Sperrmüll,Heinrich-Körner-Str.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-25,2025-12-06,2025-06-11
24702,Sperrmüll,Hugo-Haelschner-Str.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
24717,Sperrmüll,In der Lies,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-25,2025-12-06,2025-06-11
24732,Sperrmüll,Johannes-v.-Hanstein-Str.,Kessenich,53115,2.0,9998.0,1.0,9999.0,2025-02-25,2025-12-06,2025-06-11
24747,Sperrmüll,Julius-Plücker-Str.,Kessenich,53115,2.0,9998.0,1.0,9999.0,2025-02-25,2025-12-06,2025-06-11
24762,Sperrmüll,Karthäuserplatz,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
24777,Sperrmüll,Karthäuserstr.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
24792,Sperrmüll,Kuhgasse,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-25,2025-12-06,2025-06-11
24807,Sperrmüll,Lahnweg,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
24822,Sperrmüll,Loeschckestr.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
24837,Sperrmüll,Lotharstr.,Kessenich,53115,2.0,134.0,1.0,153.0,2025-02-25,2025-12-06,2025-06-11
24852,Sperrmüll,Lotharstr.,Kessenich,53115,136.0,9998.0,155.0,9999.0,2025-02-25,2025-12-06,2025-06-11
24867,Sperrmüll,Luisenstr.,Kessenich,53129,2.0,28.0,1.0,13.0,2025-02-25,2025-12-06,2025-06-11
24882,Sperrmüll,Luisenstr.,Kessenich,53129,30.0,84.0,15.0,113.0,2025-02-25,2025-12-06,2025-06-11
24897,Sperrmüll,Luisenstr.,Kessenich,53129,86.0,9998.0,115.0,9999.0,2025-02-25,2025-12-06,2025-06-11
24912,Sperrmüll,Markusplatz,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
24927,Sperrmüll,Markusstr.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
24942,Sperrmüll,Mechenstr.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
24957,Sperrmüll,Moselweg,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
24972,Sperrmüll,Naheweg,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
24987,Sperrmüll,Nikolausstr.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-25,2025-12-06,2025-06-11
25002,Sperrmüll,Pützstr.,Kessenich,53129,2.0,30.0,1.0,23.0,2025-02-25,2025-12-06,2025-06-11
25017,Sperrmüll,Pützstr.,Kessenich,53129,32.0,9998.0,25.0,9999.0,2025-02-26,2025-06-16,2025-07-11
25032,Sperrmüll,Renoisstr.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-25,2025-12-06,2025-06-11
25047,Sperrmüll,Robert-Brach-Gasse,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
25062,Sperrmüll,Rosenburgweg,Kessenich,53115,2.0,9998.0,1.0,9999.0,2025-02-25,2025-12-06,2025-06-11
25077,Sperrmüll,Rurweg,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
25092,Sperrmüll,Saarweg,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-24,2025-06-17,2025-10-11
25107,Sperrmüll,Usenerstr.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
25122,Sperrmüll,Weidengarten,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-25,2025-12-06,2025-06-11
25137,Sperrmüll,Wichernstr.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
25152,Sperrmüll,Wolterstr.,Kessenich,53129,2.0,9998.0,1.0,9999.0,2025-02-26,2025-06-16,2025-07-11
25167,Sperrmüll,Am Alten Rheinarm,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25182,Sperrmüll,Am Sonnenberg,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25197,Sperrmüll,An der Siebengebirgsbahn,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25212,Sperrmüll,Ankerbachtalweg,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25227,Sperrmüll,Broichstr.,Küdinghoven,53227,2.0,16.0,1.0,19.0,2025-01-04,2025-08-27,2025-05-12
25247,Sperrmüll,Broichstr.,Küdinghoven,53227,18.0,72.0,21.0,59.0,2025-01-04,2025-08-27,2025-05-12
25262,Sperrmüll,Broichstr.,Küdinghoven,53227,74.0,9998.0,61.0,9999.0,2025-04-29,2025-09-26,2025-12-22
25277,Sperrmüll,Buchenweg,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25292,Sperrmüll,Dornenkreuzstr.,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25307,Sperrmüll,Dornenkreuzstr.,Küdinghoven,53227,,,,,2025-01-04,2025-08-27,2025-05-12
25322,Sperrmüll,Ennerthang,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25337,Sperrmüll,Erlenweg,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25352,Sperrmüll,Flutgraben,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25367,Sperrmüll,Forstweg,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25382,Sperrmüll,Gallusstr.,Küdinghoven,53227,2.0,10.0,1.0,13.0,2025-01-04,2025-08-27,2025-05-12
25397,Sperrmüll,Gallusstr.,Küdinghoven,53227,12.0,9998.0,15.0,9999.0,2025-03-26,2025-08-26,2025-04-12
25412,Sperrmüll,Gerichtsweg,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-03-26,2025-08-26,2025-04-12
25427,Sperrmüll,Grabengasse,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25442,Sperrmüll,Haldenstr.,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25457,Sperrmüll,Hangstr.,Küdinghoven,53227,2.0,42.0,1.0,45.0,2025-01-04,2025-08-27,2025-05-12
25477,Sperrmüll,Hangstr.,Küdinghoven,53227,44.0,9998.0,47.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25492,Sperrmüll,Heinrich-Wolsing-Weg,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25507,Sperrmüll,Im Gesetz,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25522,Sperrmüll,Im Meisengrund,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25537,Sperrmüll,In der Dahlbitze,Küdinghoven,53227,2.0,8.0,1.0,5.0,2025-01-04,2025-08-27,2025-05-12
25552,Sperrmüll,In der Dahlbitze,Küdinghoven,53227,10.0,9998.0,7.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25567,Sperrmüll,Kirchstr.,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25582,Sperrmüll,Küdinghovener Str.,Küdinghoven,53227,2.0,18.0,1.0,17.0,2025-01-04,2025-08-27,2025-05-12
25597,Sperrmüll,Küdinghovener Str.,Küdinghoven,53227,64.0,90.0,57.0,91.0,2025-03-31,2025-08-29,2025-08-12
25612,Sperrmüll,Küdinghovener Str.,Küdinghoven,53227,20.0,62.0,19.0,55.0,2025-01-04,2025-08-27,2025-05-12
25627,Sperrmüll,Küdinghovener Str.,Küdinghoven,53227,112.0,9998.0,119.0,139.0,2025-03-31,2025-08-29,2025-08-12
25642,Sperrmüll,Küdinghovener Str.,Küdinghoven,53227,92.0,110.0,93.0,117.0,2025-03-31,2025-08-29,2025-08-12
25657,Sperrmüll,Küdinghovener Str.,Küdinghoven,53225,,,141.0,9999.0,2025-03-31,2025-08-29,2025-08-12
25672,Sperrmüll,Nesselroder Str.,Küdinghoven,53227,2.0,32.0,1.0,19.0,2025-01-04,2025-08-27,2025-05-12
25687,Sperrmüll,Nesselroder Str.,Küdinghoven,53227,34.0,9998.0,25.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25702,Sperrmüll,Pützchensweg,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25717,Sperrmüll,Pützchensweg,Küdinghoven,53227,,,,,2025-01-31,2025-04-07,2025-05-12
25732,Sperrmüll,Samansstr.,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-03-26,2025-08-26,2025-04-12
25747,Sperrmüll,Streffenweg,Küdinghoven,53227,2.0,9998.0,1.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25762,Sperrmüll,Talweg,Küdinghoven,53227,2.0,46.0,1.0,45.0,2025-03-31,2025-08-29,2025-08-12
25777,Sperrmüll,Talweg,Küdinghoven,53227,48.0,76.0,47.0,61.0,2025-03-31,2025-08-29,2025-08-12
25792,Sperrmüll,Talweg,Küdinghoven,53227,78.0,9998.0,63.0,9999.0,2025-03-31,2025-08-29,2025-08-12
25807,Sperrmüll,Wehrhausweg,Küdinghoven,53227,2.0,14.0,1.0,9.0,2025-01-04,2025-08-27,2025-05-12
25822,Sperrmüll,Wehrhausweg,Küdinghoven,53227,16.0,9998.0,11.0,9999.0,2025-01-04,2025-08-27,2025-05-12
25837,Sperrmüll,Wehrhausweg,Küdinghoven,53227,,,,,2025-01-31,2025-04-07,2025-05-12
25852,Sperrmüll,Am Dinaswerk,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-14,2025-01-07,2025-11-20
25867,Sperrmüll,Am Lindenbach,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
25882,Sperrmüll,Am Noßbacher Weg,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
25897,Sperrmüll,Am Winkel,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
25912,Sperrmüll,Am Ziegenbaum,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
25927,Sperrmüll,An der Nesselburg,Lannesdorf,53179,2.0,56.0,1.0,53.0,2025-03-17,2025-03-07,2025-11-21
25947,Sperrmüll,An der Nesselburg,Lannesdorf,53179,58.0,9998.0,55.0,9999.0,2025-03-18,2025-02-07,2025-11-24
25962,Sperrmüll,Antoniterstr.,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
25977,Sperrmüll,Birzentalstr.,Lannesdorf,53177,2.0,9998.0,1.0,9999.0,2025-03-13,2025-06-30,2025-11-19
25992,Sperrmüll,Brunnenplatz,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-13,2025-06-30,2025-11-19
26007,Sperrmüll,Cäcilienheidchensweg,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26022,Sperrmüll,Deutschherrenstr.,Lannesdorf,53177,2.0,84.0,1.0,73.0,2025-10-03,2025-06-26,2025-11-17
26037,Sperrmüll,Deutschherrenstr.,Lannesdorf,53179,122.0,9998.0,115.0,9999.0,2025-10-03,2025-06-26,2025-11-17
26052,Sperrmüll,Deutschherrenstr.,Lannesdorf,53177,110.0,120.0,101.0,113.0,2025-10-03,2025-06-26,2025-11-17
26067,Sperrmüll,Deutschherrenstr.,Lannesdorf,53177,86.0,108.0,75.0,99.0,2025-10-03,2025-06-26,2025-11-17
26082,Sperrmüll,Deutschherrenstr.,Lannesdorf,53177,,,,,2025-10-03,2025-06-26,2025-11-17
26097,Sperrmüll,Deutschherrenstr.,Lannesdorf,53177,,,,,2025-10-03,2025-06-26,2025-11-17
26112,Sperrmüll,Drachenburgstr.,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-14,2025-01-07,2025-11-20
26127,Sperrmüll,Drachenburgstr.,Lannesdorf,53179,,,,,2025-03-14,2025-01-07,2025-11-20
26142,Sperrmüll,Ellesdorfer Str.,Lannesdorf,53179,2.0,42.0,1.0,37.0,2025-03-17,2025-03-07,2025-11-21
26162,Sperrmüll,Ellesdorfer Str.,Lannesdorf,53179,44.0,9998.0,39.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26182,Sperrmüll,Fliederstr.,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26197,Sperrmüll,Floßweg,Lannesdorf,53179,2.0,38.0,1.0,39.0,2025-03-17,2025-03-07,2025-11-21
26217,Sperrmüll,Floßweg,Lannesdorf,53179,40.0,9998.0,41.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26237,Sperrmüll,Fourthweg,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26252,Sperrmüll,Galileistr.,Lannesdorf,53177,2.0,100.0,1.0,31.0,2025-03-14,2025-01-07,2025-11-20
26267,Sperrmüll,Galileistr.,Lannesdorf,53177,102.0,9998.0,33.0,9999.0,2025-03-14,2025-01-07,2025-11-20
26282,Sperrmüll,Gräfgeshülle,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-13,2025-06-30,2025-11-19
26297,Sperrmüll,Grubenstr.,Lannesdorf,53179,2.0,74.0,1.0,71.0,2025-03-17,2025-03-07,2025-11-21
26312,Sperrmüll,Grubenstr.,Lannesdorf,53179,76.0,9998.0,73.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26327,Sperrmüll,Hermann-Löns-Str.,Lannesdorf,53177,2.0,9998.0,1.0,9999.0,2025-03-13,2025-06-30,2025-11-19
26342,Sperrmüll,Honnefer Str.,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26362,Sperrmüll,Hoverstr.,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26377,Sperrmüll,Im Gries,Lannesdorf,53179,2.0,46.0,1.0,51.0,2025-03-17,2025-03-07,2025-11-21
26392,Sperrmüll,Im Gries,Lannesdorf,53179,48.0,9998.0,53.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26407,Sperrmüll,Im Wiesfeld,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-14,2025-01-07,2025-11-20
26422,Sperrmüll,In den Schleiden,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26437,Sperrmüll,Ittenbacher Str.,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-14,2025-01-07,2025-11-20
26452,Sperrmüll,Jenienhülle,Lannesdorf,53177,2.0,9998.0,1.0,9999.0,2025-03-13,2025-06-30,2025-11-19
26467,Sperrmüll,Keplerstr.,Lannesdorf,53177,2.0,9998.0,1.0,9999.0,2025-03-13,2025-06-30,2025-11-19
26482,Sperrmüll,Kirchberg,Lannesdorf,53179,2.0,30.0,1.0,59.0,2025-03-13,2025-06-30,2025-11-19
26497,Sperrmüll,Kirchberg,Lannesdorf,53179,32.0,9998.0,61.0,9999.0,2025-03-13,2025-06-30,2025-11-19
26512,Sperrmüll,Kortrijker Str.,Lannesdorf,53177,2.0,9998.0,1.0,9999.0,2025-03-14,2025-01-07,2025-11-20
26532,Sperrmüll,Kottenstr.,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26547,Sperrmüll,Lannesdorfer Str.,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26562,Sperrmüll,Ließemer Str.,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26577,Sperrmüll,Lindstr.,Lannesdorf,53177,2.0,9998.0,1.0,9999.0,2025-03-13,2025-06-30,2025-11-19
26594,Sperrmüll,Lyngsbergstr.,Lannesdorf,53177,2.0,60.0,1.0,65.0,2025-03-13,2025-06-30,2025-11-19
26609,Sperrmüll,Lyngsbergstr.,Lannesdorf,53177,62.0,9998.0,67.0,9999.0,2025-03-13,2025-06-30,2025-11-19
26624,Sperrmüll,Mallwitzstr.,Lannesdorf,53177,2.0,22.0,1.0,11.0,2025-03-14,2025-01-07,2025-11-20
26639,Sperrmüll,Mallwitzstr.,Lannesdorf,53177,24.0,9998.0,13.0,9999.0,2025-03-14,2025-01-07,2025-11-20
26654,Sperrmüll,Max-Planck-Str.,Lannesdorf,53177,2.0,16.0,1.0,19.0,2025-03-14,2025-01-07,2025-11-20
26669,Sperrmüll,Max-Planck-Str.,Lannesdorf,53177,18.0,9998.0,21.0,9999.0,2025-03-14,2025-01-07,2025-11-20
26684,Sperrmüll,Mehlemer Str.,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26704,Sperrmüll,Meitnerstr.,Lannesdorf,53177,2.0,9998.0,1.0,9999.0,2025-03-14,2025-01-07,2025-11-20
26719,Sperrmüll,Merianstr.,Lannesdorf,53177,2.0,9998.0,1.0,9999.0,2025-03-14,2025-01-07,2025-11-20
26734,Sperrmüll,Neuer Weg,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26749,Sperrmüll,Oberstr.,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26764,Sperrmüll,Paracelsusstr.,Lannesdorf,53177,2.0,9998.0,1.0,9999.0,2025-03-13,2025-06-30,2025-11-19
26779,Sperrmüll,Pennefeldsweg,Lannesdorf,53177,2.0,9998.0,1.0,9999.0,2025-03-14,2025-01-07,2025-11-20
26794,Sperrmüll,Pützfelder Weg,Lannesdorf,53177,2.0,9998.0,1.0,9999.0,2025-03-13,2025-06-30,2025-11-19
26809,Sperrmüll,Rhodosstr.,Lannesdorf,53177,2.0,9998.0,1.0,9999.0,2025-03-14,2025-01-07,2025-11-20
26824,Sperrmüll,Rhöndorfer Str.,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-14,2025-01-07,2025-11-20
26839,Sperrmüll,Rotweingarten,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26854,Sperrmüll,Scheerenbergweg,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26869,Sperrmüll,Schenkpfädchen,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-13,2025-06-30,2025-11-19
26884,Sperrmüll,Sommerbergweg,Lannesdorf,53179,2.0,30.0,1.0,31.0,2025-11-03,2025-06-27,2025-11-18
26899,Sperrmüll,Sommerbergweg,Lannesdorf,53179,32.0,9998.0,33.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26914,Sperrmüll,Splickgasse,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-13,2025-06-30,2025-11-19
26929,Sperrmüll,Vogelskaulerweg,Lannesdorf,53179,2.0,9998.0,1.0,9999.0,2025-03-17,2025-03-07,2025-11-21
26944,Sperrmüll,Am Ehrenmal,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
26959,Sperrmüll,Am Fahrweg,Lengsdorf,53123,2.0,9998.0,1.0,9999.0,2025-02-14,2025-04-06,2025-10-29
26974,Sperrmüll,Am Käferberg,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
26989,Sperrmüll,Am Prinzenrain,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
27004,Sperrmüll,An der Ohligsmühle,Lengsdorf,53127,2.0,16.0,1.0,11.0,2025-02-17,2025-05-06,2025-10-30
27019,Sperrmüll,An der Ohligsmühle,Lengsdorf,53127,18.0,9998.0,13.0,9999.0,2025-02-17,2025-05-06,2025-10-30
27034,Sperrmüll,An der Ziegelei,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
27049,Sperrmüll,Auf dem Freibogen,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
27064,Sperrmüll,Auf dem Kirchbüchel,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
27084,Sperrmüll,Auf dem Schellenberg,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
27099,Sperrmüll,Auf dem Uhlberg,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
27114,Sperrmüll,Auf der Kaiserfuhr,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
27129,Sperrmüll,Brückenstr.,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
27144,Sperrmüll,Clematisweg,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
27159,Sperrmüll,Enggasse,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
27174,Sperrmüll,Frechengasse,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
27189,Sperrmüll,Glockenstr.,Lengsdorf,53123,2.0,9998.0,1.0,9999.0,2025-02-14,2025-04-06,2025-10-29
27204,Sperrmüll,Hardtbergstr.,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
27219,Sperrmüll,Hubert-Maurer-Str.,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
27234,Sperrmüll,Im Bendenberg,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
27249,Sperrmüll,Im Brandengarten,Lengsdorf,53127,2.0,9998.0,1.0,9999.0,2025-02-17,2025-05-06,2025-10-30
